id,type,rule_name,condition_type,condition_value,affected_field,adjustment_action,adjustment_value,applies_to_task_ids,applies_to_model_families,confidence,notes,evidence_ids
rule_yolo_latency_first_variant,AdjustmentRule,Choose smaller YOLO variant for latency-first use,performance_priority,LatencyFirst,model_id,select,Prefer nano or small variants before larger variants within the same YOLO family.,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,Inferred from official benchmark tables where smaller variants generally have lower latency/compute; use as a suggestion rather than a hard rule.,evidence_ultralytics_yolov8_docs|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs
rule_yolo_accuracy_first_variant,AdjustmentRule,Choose larger YOLO variant for accuracy-first use,performance_priority,AccuracyFirst,model_id,select,"Consider medium, large, or xlarge variants if hardware and latency budget allow.",object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,Inferred from official benchmark tables where larger variants generally have higher mAP50-95; use as a suggestion rather than a hard rule.,evidence_ultralytics_yolov8_docs|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs
rule_yolo_low_vram_auto_batch,AdjustmentRule,Use automatic batch sizing for limited VRAM,gpu_memory_limited,true,batch_size_default,replace,Use automatic batch sizing such as batch=-1 or a CUDA memory fraction when available.,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Directly supported by Ultralytics configuration/train documentation describing automatic batch-size estimation.,evidence_ultralytics_train_docs|evidence_ultralytics_cfg_docs
rule_yolo_time_constrained_training,AdjustmentRule,Use time limit when training time is constrained,max_training_time_hours,set,time_hours,replace,Set a maximum training time; time-based training can override epoch-based training.,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Directly supported by Ultralytics configuration documentation describing the time training argument.,evidence_ultralytics_cfg_docs
rule_yolo_hyperparameter_tuning,AdjustmentRule,Tune hyperparameters if target metric is not met,performance_not_met,true,training_strategy,add,Run hyperparameter tuning with a chosen evaluation metric and tuning budget.,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Directly supported by Ultralytics hyperparameter tuning guide.,evidence_ultralytics_hpo_docs
rule_yolo_increase_imgsz_for_accuracy,AdjustmentRule,Consider increasing image size for accuracy-first use,performance_priority,AccuracyFirst,image_size_default,increase,Consider increasing image size if hardware allows and validation performance improves.,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,"Partly supported by image size being a configurable training/prediction parameter that affects compute; this is a tradeoff rule, not an explicit Ultralytics prescription.",evidence_ultralytics_cfg_docs
rule_yolo_reduce_imgsz_for_latency,AdjustmentRule,Consider reducing image size for latency-first use,performance_priority,LatencyFirst,image_size_default,decrease,Consider reducing image size if latency or compute is more important than accuracy.,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,"Partly supported by image size being a configurable training/prediction parameter that affects compute and latency; this is a tradeoff rule, not an explicit Ultralytics prescription.",evidence_ultralytics_cfg_docs
rule_rtdetr_accuracy_first_variant,AdjustmentRule,Choose larger RT-DETR variants for accuracy-first use,performance_priority,AccuracyFirst,model_id,select,Prefer RT-DETR-R50 or RT-DETR-R101 when accuracy is prioritized and GPU memory/latency budget allow.,object_detection,RT-DETR,High,Supported by RT-DETR benchmark tables where R50/R101 achieve higher COCO AP than smaller scaled variants.,evidence_rtdetr_paper|evidence_rtdetr_official_repo
rule_rtdetr_latency_first_decoder_or_variant,AdjustmentRule,Use smaller RT-DETR variants or fewer decoder layers for latency-first use,performance_priority,LatencyFirst,decoder_layers,decrease,Prefer RT-DETR-R18/R34/R50-m or reduce RT-DETR decoder layers at inference for higher FPS without retraining.,object_detection,RT-DETR,High,The RT-DETR paper states speed can be tuned by adjusting decoder layers without retraining and reports higher FPS for lighter/scaled variants.,evidence_rtdetr_paper|evidence_rtdetr_official_repo
rule_rtdetr_low_vram_reduce_batch,AdjustmentRule,Reduce RT-DETR batch size on limited VRAM,gpu_memory_limited,true,batch_size_default,decrease,Lower per-device batch size from the reported global batch size 16 and use gradient accumulation if needed to preserve effective batch size.,object_detection,RT-DETR,Medium,The paper reports global batch size 16 on four V100 GPUs; lowering per-device batch is a practical extrapolation for smaller GPUs.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
rule_rtdetr_use_objects365_pretraining_for_accuracy,AdjustmentRule,Use Objects365-pretrained RT-DETR weights for higher accuracy,performance_priority,AccuracyFirst,pretrained,select,Prefer Objects365-pretrained weights before COCO or custom fine-tuning when available.,object_detection,RT-DETR,High,The paper reports higher COCO AP after Objects365 pre-training followed by COCO fine-tuning for R18/R50/R101.,evidence_rtdetr_paper|evidence_rtdetr_official_repo
rule_yolov10_nms_free_low_latency,AdjustmentRule,Consider YOLOv10 for NMS-free low-latency detection,performance_priority,LatencyFirst,model_family,consider,YOLOv10,object_detection,YOLOv10,Medium,Supported by YOLOv10 documentation describing NMS-free inference and latency-oriented motivation; actual speed depends on deployment hardware and export format.,evidence_ultralytics_yolov10_docs
rule_yolo11_stable_ultralytics_default,AdjustmentRule,Prefer YOLO11 for stable Ultralytics deployment,production_priority,StableDeployment,model_family,prefer,YOLO11,object_detection,YOLO11,Medium,YOLO11 is an official Ultralytics model family; preference for stable deployment is a recommendation-level interpretation supported by official YOLO11 documentation and YOLO12 production cautions.,evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs
rule_yolo12_research_caution,AdjustmentRule,Use YOLO12 cautiously for production,model_family,YOLO12,production_readiness,warning,"Community-driven model maintained primarily for benchmarking and research; possible training instability, elevated memory consumption, and slower CPU throughput.",object_detection,YOLO12,High,Directly supported by Ultralytics YOLO12 documentation.,evidence_ultralytics_yolo12_docs
rule_class_imbalance_cls_pw,AdjustmentRule,Increase cls_pw for class imbalance,DatasetProperty,ClassImbalance,cls_pw,increase,5.0-10.0,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Multiplies penalty for missing a minority class target.,evidence_ultralytics_hpo_docs|evidence_lin_focal_loss
rule_tiny_objects_mosaic,AdjustmentRule,Maximize mosaic and imgsz for tiny objects,DatasetProperty,TinyObjects,"mosaic, imgsz",increase,"mosaic=1.0, imgsz=1280",object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Forces network to train on artificially smaller objects without losing resolution.,evidence_bochkovskiy_yolov4|evidence_ultralytics_hpo_docs
rule_overfitting_weight_decay,AdjustmentRule,Increase weight_decay and HSV for overfitting,TrainingIssue,Overfitting,"weight_decay, hsv_h, hsv_s, hsv_v",increase,"weight_decay=0.001, higher hsv",object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Penalizes large weights to force generalization and reduces memorization of colors.,evidence_ultralytics_cfg_docs
rule_early_instability_warmup,AdjustmentRule,Increase warmup_epochs for early NaN loss,TrainingIssue,EarlyInstability,warmup_epochs,increase,5.0+,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Allows random initial weights to settle gently before full learning rate kicks in.,evidence_ultralytics_train_docs
rule_messy_predictions_close_mosaic,AdjustmentRule,Set close_mosaic for clean final predictions,TrainingPhase,EndStages,close_mosaic,set,10,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Disables heavy spatial augmentations in the final 10 epochs for clean bounding boxes.,evidence_ultralytics_cfg_docs
rule_small_dataset_augment,AdjustmentRule,Heavily augment small datasets,DatasetProperty,SmallDataset_LT_1000,"mixup, copy_paste, degrees",increase,"mixup=0.3, copy_paste=0.3, degrees=10.0",object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Artificial variance is required when natural variance is missing.,evidence_ultralytics_recipe
rule_large_dataset_augment,AdjustmentRule,Decrease augmentation for massive datasets,DatasetProperty,LargeDataset_GT_50000,"mosaic, mixup, scale",decrease,"mosaic=0.5, mixup=0.0",object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,Medium,Prevents underfitting when natural dataset variance is already extremely high.,evidence_ultralytics_recipe
rule_crowded_env_max_det,AdjustmentRule,Increase max_det for crowded environments,DatasetProperty,CrowdedEnvironment,max_det,increase,1000+,object_detection,YOLOv8|YOLOv10|YOLO11|YOLO12,High,Bypasses the hardcoded 300-object limit in default NMS logic.,evidence_ultralytics_cfg_docs
